Failas output1.txt analizė:
Pozicija 1: Unikalių simbolių: 15, Didžiausias pasikartojimo dažnis: 7.344%, Mažiausias pasikartojimo dažnis: 5.893%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=57.20%, b1=53.15%, b2=53.07%, b3=52.72%
Pozicija 12: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.645%, Mažiausias pasikartojimo dažnis: 4.835%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=49.23%, b1=50.93%, b2=51.02%, b3=50.80%
Pozicija 13: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.872%, Mažiausias pasikartojimo dažnis: 1.473%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.14%, b1=52.55%, b2=52.78%, b3=52.38%
Pozicija 14: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.601%, Mažiausias pasikartojimo dažnis: 4.448%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=50.83%, b1=50.87%, b2=51.06%, b3=51.15%
Pozicija 15: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 7.161%, Mažiausias pasikartojimo dažnis: 1.677%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.56%, b1=52.04%, b2=52.77%, b3=52.52%
Pozicija 16: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.499%, Mažiausias pasikartojimo dažnis: 4.328%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.03%, b1=50.76%, b2=51.06%, b3=51.21%
Pozicija 17: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.916%, Mažiausias pasikartojimo dažnis: 1.729%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.64%, b1=52.14%, b2=52.26%, b3=52.71%
Pozicija 18: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.568%, Mažiausias pasikartojimo dažnis: 4.203%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.22%, b1=51.17%, b2=51.27%, b3=50.89%
Pozicija 19: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 7.189%, Mažiausias pasikartojimo dažnis: 1.931%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.16%, b1=52.18%, b2=52.61%, b3=52.75%
Pozicija 20: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 9.403%, Mažiausias pasikartojimo dažnis: 3.94%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.42%, b1=49.39%, b2=52.40%, b3=53.42%
Pozicija 21: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 17.869%, Mažiausias pasikartojimo dažnis: 1.983%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=50.07%, b1=45.10%, b2=56.03%, b3=59.35%
Pozicija 22: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 37.068%, Mažiausias pasikartojimo dažnis: 2.915%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=37.75%, b1=28.79%, b2=58.55%, b3=71.64%
Pozicija 23: Unikalių simbolių: 8, Didžiausias pasikartojimo dažnis: 54.452%, Mažiausias pasikartojimo dažnis: 0.001%, Nepasikartojančių simbolių: 2, Bitų pasiskirstymas (MSB..LSB): b0=32.87%, b1=12.57%, b2=54.46%, b3=87.32%
Pozicija 24: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 50.361%, Mažiausias pasikartojimo dažnis: 0.001%, Nepasikartojančių simbolių: 1, Bitų pasiskirstymas (MSB..LSB): b0=50.43%, b1=32.92%, b2=16.00%, b3=66.35%
Pozicija 25: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 50.412%, Mažiausias pasikartojimo dažnis: 0.021%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=0.48%, b1=50.75%, b2=45.84%, b3=45.85%
Pozicija 26: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 83.553%, Mažiausias pasikartojimo dažnis: 0.182%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=2.32%, b1=2.05%, b2=85.33%, b3=85.37%
Pozicija 27: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 52.042%, Mažiausias pasikartojimo dažnis: 0.833%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=8.70%, b1=8.10%, b2=59.04%, b3=59.21%
Pozicija 28: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 52.725%, Mažiausias pasikartojimo dažnis: 2.457%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=24.44%, b1=23.53%, b2=27.04%, b3=26.61%
Pozicija 29: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 18.682%, Mažiausias pasikartojimo dažnis: 4.431%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=44.74%, b1=45.27%, b2=58.37%, b3=55.88%
Pozicija 30: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 39.203%, Mažiausias pasikartojimo dažnis: 2.944%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=26.61%, b1=37.80%, b2=74.58%, b3=61.54%
Pozicija 31: Unikalių simbolių: 10, Didžiausias pasikartojimo dažnis: 63.638%, Mažiausias pasikartojimo dažnis: 0.001%, Nepasikartojančių simbolių: 3, Bitų pasiskirstymas (MSB..LSB): b0=0.11%, b1=32.87%, b2=99.88%, b3=63.75%
Pozicija 32: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 50.355%, Mažiausias pasikartojimo dažnis: 0.002%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=0.78%, b1=50.41%, b2=99.20%, b3=37.02%
Pozicija 33: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 62.979%, Mažiausias pasikartojimo dažnis: 0.032%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=3.76%, b1=0.40%, b2=96.19%, b3=66.72%
Pozicija 34: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 50.603%, Mažiausias pasikartojimo dažnis: 0.198%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=14.58%, b1=2.00%, b2=85.41%, b3=47.52%
Pozicija 35: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 51.974%, Mažiausias pasikartojimo dažnis: 0.795%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=40.75%, b1=7.95%, b2=59.35%, b3=91.78%
Pozicija 36: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 53.225%, Mažiausias pasikartojimo dažnis: 2.426%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=73.83%, b1=22.95%, b2=27.52%, b3=76.42%
Pozicija 37: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 17.562%, Mažiausias pasikartojimo dažnis: 4.255%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=43.43%, b1=42.42%, b2=58.92%, b3=54.23%
Pozicija 38: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 35.858%, Mažiausias pasikartojimo dažnis: 2.854%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=26.77%, b1=29.57%, b2=71.15%, b3=58.03%
Pozicija 39: Unikalių simbolių: 12, Didžiausias pasikartojimo dažnis: 51.077%, Mažiausias pasikartojimo dažnis: 0.001%, Nepasikartojančių simbolių: 5, Bitų pasiskirstymas (MSB..LSB): b0=0.01%, b1=15.94%, b2=87.32%, b3=51.08%
Pozicija 40: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 50.355%, Mažiausias pasikartojimo dažnis: 0.002%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=0.07%, b1=45.48%, b2=66.35%, b3=3.44%
Pozicija 41: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 50.406%, Mažiausias pasikartojimo dažnis: 0.022%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=0.46%, b1=83.66%, b2=45.84%, b3=12.98%
Pozicija 42: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 50.641%, Mažiausias pasikartojimo dažnis: 0.14%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=2.26%, b1=52.49%, b2=85.31%, b3=34.97%
Pozicija 43: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 52.181%, Mažiausias pasikartojimo dažnis: 0.651%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=8.92%, b1=8.06%, b2=58.94%, b3=59.30%
Pozicija 44: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 52.871%, Mažiausias pasikartojimo dažnis: 1.972%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=24.87%, b1=23.48%, b2=25.68%, b3=26.82%
Pozicija 45: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 19.319%, Mažiausias pasikartojimo dažnis: 3.974%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=44.76%, b1=44.88%, b2=54.14%, b3=58.49%
Pozicija 46: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 39.355%, Mažiausias pasikartojimo dažnis: 2.867%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=26.35%, b1=38.07%, b2=61.98%, b3=74.05%
Pozicija 47: Unikalių simbolių: 9, Didžiausias pasikartojimo dažnis: 63.638%, Mažiausias pasikartojimo dažnis: 0.001%, Nepasikartojančių simbolių: 3, Bitų pasiskirstymas (MSB..LSB): b0=3.38%, b1=32.98%, b2=63.76%, b3=96.62%
Pozicija 48: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 50.359%, Mažiausias pasikartojimo dažnis: 0.002%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=12.62%, b1=51.14%, b2=37.03%, b3=87.37%
Pozicija 49: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 62.965%, Mažiausias pasikartojimo dažnis: 0.039%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=33.26%, b1=3.79%, b2=66.71%, b3=66.70%
Pozicija 50: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 50.559%, Mažiausias pasikartojimo dažnis: 0.208%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.33%, b1=14.66%, b2=47.56%, b3=47.64%
Pozicija 51: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 51.514%, Mažiausias pasikartojimo dažnis: 0.85%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=8.04%, b1=41.33%, b2=91.57%, b3=91.87%
Pozicija 52: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 53.423%, Mažiausias pasikartojimo dažnis: 2.483%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=24.48%, b1=75.34%, b2=75.40%, b3=75.83%
Pozicija 53: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.97%, Mažiausias pasikartojimo dažnis: 5.223%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=50.74%, b1=50.89%, b2=50.39%, b3=51.64%
Pozicija 54: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.967%, Mažiausias pasikartojimo dažnis: 3.66%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.11%, b1=51.33%, b2=51.58%, b3=51.30%
Pozicija 55: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 7.053%, Mažiausias pasikartojimo dažnis: 2.032%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.80%, b1=52.60%, b2=52.37%, b3=51.93%
Pozicija 56: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 7.815%, Mažiausias pasikartojimo dažnis: 3.484%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=54.78%, b1=51.63%, b2=51.55%, b3=51.46%
Pozicija 57: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 8.41%, Mažiausias pasikartojimo dažnis: 2.175%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=54.86%, b1=52.78%, b2=52.70%, b3=51.99%
Pozicija 58: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 7.263%, Mažiausias pasikartojimo dažnis: 3.61%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.52%, b1=51.81%, b2=51.58%, b3=51.40%
Pozicija 59: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 7.201%, Mažiausias pasikartojimo dažnis: 2.223%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=54.36%, b1=52.41%, b2=51.43%, b3=51.70%
Pozicija 60: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 7.565%, Mažiausias pasikartojimo dažnis: 3.318%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.81%, b1=52.65%, b2=51.08%, b3=51.88%
Pozicija 61: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 7.889%, Mažiausias pasikartojimo dažnis: 2.293%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.05%, b1=53.43%, b2=51.67%, b3=53.53%
Pozicija 62: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 9.717%, Mažiausias pasikartojimo dažnis: 3.375%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=48.64%, b1=53.14%, b2=50.89%, b3=53.36%
Pozicija 63: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 14.902%, Mažiausias pasikartojimo dažnis: 2.162%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=42.42%, b1=56.14%, b2=49.65%, b3=55.50%
Pozicija 64: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 21.979%, Mažiausias pasikartojimo dažnis: 2.376%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=30.00%, b1=58.62%, b2=49.31%, b3=55.70%

Vidurkiai failui output1:
Avg Unikalių simbolių: 15.59
Avg Didžiausias pasikartojimo dažnis (%): 28.04
Avg Mažiausias pasikartojimo dažnis (%): 2.20
Avg Nepasikartojančių simbolių: 0.22
Avg bitu pasiskirstymas (MSB..LSB) per faila: b0=37.14%, b1=41.77%, b2=57.06%, b3=55.77%

Failas output2.txt analizė:
Pozicija 1: Unikalių simbolių: 15, Didžiausias pasikartojimo dažnis: 6.99%, Mažiausias pasikartojimo dažnis: 6.30%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=54.29%, b1=53.25%, b2=53.29%, b3=53.51%
Pozicija 2: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.53%, Mažiausias pasikartojimo dažnis: 5.78%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=50.54%, b1=50.30%, b2=50.41%, b3=50.19%
Pozicija 3: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 7.44%, Mažiausias pasikartojimo dažnis: 0.36%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=56.71%, b1=52.40%, b2=52.88%, b3=52.86%
Pozicija 4: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.43%, Mažiausias pasikartojimo dažnis: 5.60%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=50.38%, b1=50.27%, b2=50.30%, b3=50.18%
Pozicija 5: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.89%, Mažiausias pasikartojimo dažnis: 0.58%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.74%, b1=52.51%, b2=52.78%, b3=52.68%
Pozicija 6: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.54%, Mažiausias pasikartojimo dažnis: 5.41%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.09%, b1=50.38%, b2=50.23%, b3=50.62%
Pozicija 7: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 7.00%, Mažiausias pasikartojimo dažnis: 0.91%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=54.40%, b1=52.54%, b2=52.95%, b3=52.73%
Pozicija 8: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.47%, Mažiausias pasikartojimo dažnis: 4.90%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=50.11%, b1=51.00%, b2=50.72%, b3=50.70%
Pozicija 9: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 7.19%, Mažiausias pasikartojimo dažnis: 1.10%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=50.44%, b1=52.90%, b2=52.75%, b3=52.71%
Pozicija 10: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.58%, Mažiausias pasikartojimo dažnis: 4.83%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=50.97%, b1=50.84%, b2=50.66%, b3=50.84%
Pozicija 11: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 7.13%, Mažiausias pasikartojimo dažnis: 1.36%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=54.44%, b1=52.25%, b2=52.67%, b3=52.51%
Pozicija 12: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.56%, Mažiausias pasikartojimo dažnis: 4.59%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=50.86%, b1=50.72%, b2=50.99%, b3=50.91%
Pozicija 13: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.86%, Mažiausias pasikartojimo dažnis: 1.55%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.47%, b1=52.18%, b2=52.61%, b3=52.39%
Pozicija 14: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.61%, Mažiausias pasikartojimo dažnis: 4.31%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.55%, b1=50.85%, b2=50.88%, b3=50.91%
Pozicija 15: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.85%, Mažiausias pasikartojimo dažnis: 1.76%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.09%, b1=51.99%, b2=52.40%, b3=52.40%
Pozicija 16: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.54%, Mažiausias pasikartojimo dažnis: 4.24%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=50.92%, b1=50.77%, b2=51.08%, b3=50.82%
Pozicija 17: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.80%, Mažiausias pasikartojimo dažnis: 1.87%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.52%, b1=52.19%, b2=52.15%, b3=52.39%
Pozicija 18: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.69%, Mažiausias pasikartojimo dažnis: 4.06%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.25%, b1=51.06%, b2=50.95%, b3=51.21%
Pozicija 19: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 7.07%, Mažiausias pasikartojimo dažnis: 2.00%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=54.67%, b1=51.99%, b2=52.19%, b3=52.00%
Pozicija 20: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.61%, Mažiausias pasikartojimo dažnis: 3.95%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.31%, b1=51.10%, b2=51.09%, b3=51.03%
Pozicija 21: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.73%, Mažiausias pasikartojimo dažnis: 2.18%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.70%, b1=52.01%, b2=52.41%, b3=52.33%
Pozicija 22: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.59%, Mažiausias pasikartojimo dažnis: 3.98%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.86%, b1=51.01%, b2=51.37%, b3=51.33%
Pozicija 23: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.67%, Mažiausias pasikartojimo dažnis: 2.21%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.56%, b1=52.21%, b2=52.26%, b3=51.91%
Pozicija 24: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.55%, Mažiausias pasikartojimo dažnis: 3.80%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.49%, b1=51.59%, b2=51.38%, b3=51.30%
Pozicija 25: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.76%, Mažiausias pasikartojimo dažnis: 2.30%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.13%, b1=51.91%, b2=52.11%, b3=52.27%
Pozicija 26: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.58%, Mažiausias pasikartojimo dažnis: 3.75%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.83%, b1=51.16%, b2=51.48%, b3=51.36%
Pozicija 27: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.67%, Mažiausias pasikartojimo dažnis: 2.27%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.24%, b1=51.95%, b2=52.02%, b3=52.05%
Pozicija 28: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.65%, Mažiausias pasikartojimo dažnis: 3.57%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.53%, b1=51.38%, b2=51.20%, b3=51.33%
Pozicija 29: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.88%, Mažiausias pasikartojimo dažnis: 2.35%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.63%, b1=51.66%, b2=52.19%, b3=51.95%
Pozicija 30: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.64%, Mažiausias pasikartojimo dažnis: 3.61%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.51%, b1=51.47%, b2=51.27%, b3=51.37%
Pozicija 31: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.74%, Mažiausias pasikartojimo dažnis: 2.53%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.33%, b1=51.88%, b2=52.00%, b3=51.70%
Pozicija 32: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.64%, Mažiausias pasikartojimo dažnis: 3.37%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.38%, b1=51.24%, b2=51.64%, b3=51.59%
Pozicija 33: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.72%, Mažiausias pasikartojimo dažnis: 2.60%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.76%, b1=51.66%, b2=52.20%, b3=52.06%
Pozicija 34: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.60%, Mažiausias pasikartojimo dažnis: 3.40%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.81%, b1=51.59%, b2=51.34%, b3=51.52%
